#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Assembly Accession	Reference	FTP Path	Pubmed ID	Strain
Mycobacterium szulgai	1787	PRJNA299467	299467	Terrabacteria group	Actinomycetota	6.67266	65.8	-	LQPW01	178	5928	5601	2017/04/20	2022/04/19	Contig	University of Trento	SAMN04216953	GCA_002116635.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/116/635/GCF_002116635.1_ASM211663v1	-	DSM 44166
Mycobacterium scrofulaceum	1783	PRJNA354248	354248	Terrabacteria group	Actinomycetota	6.17027	68.4	-	MVIJ01	184	5918	5649	2017/04/11	2022/04/10	Contig	San Raffaele Scientific Institute	SAMN06064259	GCA_002086735.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/735/GCF_002086735.1_ASM208673v1	-	DSM 43992
Mycobacterium malmoense	1780	PRJNA747101	747101	Terrabacteria group	Actinomycetota	5.31986	67	chromosome:NZ_CP080999.1/CP080999.1	-	1	4952	4726	2021/08/17	2021/12/05	Complete Genome	Research Institute of Tuberculosis	SAMN20254263	GCA_019645855.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/645/855/GCA_019645855.1_ASM1964585v1	-	ATCC 29571
Mycobacterium intermedium	28445	PRJNA338014	338014	Terrabacteria group	Actinomycetota	6.85564	65.8	-	MIHB01	213	6105	5774	2016/09/09	2021/12/16	Scaffold	UW	SAMN05729961	GCA_001722345.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/722/345/GCF_001722345.1_ASM172234v1	-	HMC2_M5
Mycobacterium sherrisii	243061	PRJNA299467	299467	Terrabacteria group	Actinomycetota	5.56217	67	-	LQPT01	128	5271	5017	2017/04/20	2022/04/14	Contig	University of Trento	SAMN04216950	GCA_002102355.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/355/GCF_002102355.1_ASM210235v1	-	ATCC BAA-832
Mycobacterium shimoidei	29313	PRJEB26812	479803	Terrabacteria group	Actinomycetota	4.84263	65.8	-	UEGW01	6	4695	4522	2018/07/08	2022/04/14	Scaffold	Unite de Recherche sur les Maladies Infectieuses et Tropicales Emergentes (URMITE) CNRS, Faculte de Medecine, Universite de la Mediterranee, Marseille, France	SAMEA4681384	GCA_900417275.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/417/275/GCA_900417275.1_PRJEB26812	-	P7336
Mycolicibacterium malmesburyense	1566886	PRJEB9485	285976	Terrabacteria group	Actinomycetota	5.47096	67.3	-	CVTB01	324	5376	5191	2015/06/08	2022/01/23	Scaffold	Centre for Proteomic and Genomic Research	SAMEA3432686	GCA_001050015.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/050/015/GCF_001050015.1_Mycobacterium_malmesburii_WCM_7299	-	WCM 7299
Mycobacterium paraffinicum	53378	PRJNA646947	646947	Terrabacteria group	Actinomycetota	5.40249	67.7	-	JACKUR01	44	5093	4910	2022/10/24	2022/10/26	Contig	Uppsala University	SAMN15568937	GCA_025822865.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/822/865/GCF_025822865.1_ASM2582286v1	36243697	DSM 44181
Mycolicibacterium komanii	1566885	PRJEB9486	285977	Terrabacteria group	Actinomycetota	5.37897	67.3	-	CVTA01	65	5207	5073	2015/06/08	2022/01/16	Contig	Centre for Proteomic and Genomic Research	SAMEA3432687	GCA_001050035.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/050/035/GCF_001050035.1_Mycobacterium_komanii_GPK_1020	-	GPK 1020
Mycobacterium paraintracellulare	1138383	PRJDB10771	676052	Terrabacteria group	Actinomycetota	5.35761	68.0876	chromosome:NZ_AP024251.1/AP024251.1; plasmid pM011:NZ_AP024252.1/AP024252.1	-	2	5032	4889	2020/12/26	2022/02/05	Complete Genome	Niigata University School of Medicine	SAMD00258728	GCA_016756055.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/756/055/GCA_016756055.1_ASM1675605v1	-	M011
Mycobacterium bouchedurhonense	701041	PRJNA354248	354248	Terrabacteria group	Actinomycetota	5.89731	68.6	-	MVHL01	230	5745	5458	2017/04/11	2022/04/10	Contig	San Raffaele Scientific Institute	SAMN06064234	GCA_002086165.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/165/GCF_002086165.1_ASM208616v1	-	DSM 45439
Mycobacterium angelicum	470074	PRJNA354248	354248	Terrabacteria group	Actinomycetota	6.66291	66.3	-	MVHE01	525	5976	5626	2017/04/11	2022/04/19	Contig	San Raffaele Scientific Institute	SAMN06064227	GCA_002086155.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/155/GCF_002086155.1_ASM208615v1	-	DSM 45057
Mycobacterium heidelbergense	53376	PRJDB7717	594871	Terrabacteria group	Actinomycetota	5.05058	67.9	chromosome:NZ_AP022615.1/AP022615.1	-	1	4703	4457	2020/02/06	2021/12/16	Complete Genome	Department of Infection Metagenomics, Osaka University	SAMD00153194	GCA_010730745.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/730/745/GCA_010730745.1_ASM1073074v1	31287781	JCM 14842
Mycobacterium mantenii	560555	PRJDB7717	594871	Terrabacteria group	Actinomycetota	6.18554	66.9	chromosome:NZ_AP022590.1/AP022590.1	-	1	5785	5491	2020/02/06	2021/12/16	Complete Genome	Department of Infection Metagenomics, Osaka University	SAMD00153211	GCA_010731775.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/731/775/GCA_010731775.1_ASM1073177v1	31287781	JCM 18113
Mycobacterium marseillense	701042	PRJNA315990	315990	Terrabacteria group	Actinomycetota	5.28564	67.787	chromosome:NZ_CP023147.1/CP023147.1; plasmid pFLAC0026:NZ_CP023148.1/CP023148.1	-	2	4932	4809	2017/09/05	2022/04/10	Complete Genome	University of Michigan Medical School	SAMN07528776	GCA_002285715.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/285/715/GCF_002285715.1_ASM228571v1	-	FLAC0026
Mycobacterium noviomagense	459858	PRJDB7717	594871	Terrabacteria group	Actinomycetota	4.7798	65.8	chromosome:NZ_AP022583.1/AP022583.1	-	1	4573	4319	2020/02/06	2021/12/16	Complete Genome	Department of Infection Metagenomics, Osaka University	SAMD00153203	GCA_010731635.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/731/635/GCA_010731635.1_ASM1073163v1	31287781	JCM 16367
Mycobacterium paraseoulense	590652	PRJDB7717	594871	Terrabacteria group	Actinomycetota	6.08596	67.9	chromosome:NZ_AP022619.1/AP022619.1	-	1	5753	5548	2020/02/06	2021/12/16	Complete Genome	Department of Infection Metagenomics, Osaka University	SAMD00153204	GCA_010731655.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/731/655/GCA_010731655.1_ASM1073165v1	31287781	JCM 16952
Mycobacterium branderi	43348	PRJDB7717	594871	Terrabacteria group	Actinomycetota	5.97962	66.5109	chromosome:NZ_AP022606.1/AP022606.1; plasmid pJCM12687:NZ_AP022607.1/AP022607.1	-	2	5863	5636	2020/02/06	2021/12/16	Complete Genome	Department of Infection Metagenomics, Osaka University	SAMD00153181	GCA_010728725.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/728/725/GCA_010728725.1_ASM1072872v1	31287781	JCM 12687
Mycobacterium alsense	324058	PRJNA354248	354248	Terrabacteria group	Actinomycetota	5.69285	69.3	-	MVHD01	157	5426	5166	2017/04/11	2022/04/14	Contig	San Raffaele Scientific Institute	SAMN06064226	GCA_002086635.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/635/GCF_002086635.1_ASM208663v1	-	DSM 45230
Mycobacterium timonense	701043	PRJDB7717	594871	Terrabacteria group	Actinomycetota	5.7015	67.9	-	BLLA01	5	5338	5060	2020/02/06	2022/04/14	Contig	Department of Infection Metagenomics, Osaka University	SAMD00153223	GCA_010723675.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/723/675/GCA_010723675.1_ASM1072367v1	31287781	JCM 30726
Mycobacterium shinjukuense	398694	PRJDB7717	594871	Terrabacteria group	Actinomycetota	4.50402	67.8	chromosome:NZ_AP022575.1/AP022575.1	-	1	4115	3722	2020/02/06	2021/12/16	Complete Genome	Department of Infection Metagenomics, Osaka University	SAMD00153190	GCA_010730055.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/730/055/GCA_010730055.1_ASM1073005v1	31287781	JCM 14233
Mycobacterium florentinum	292462	PRJDB7717	594871	Terrabacteria group	Actinomycetota	6.21986	66.4	chromosome:NZ_AP022576.1/AP022576.1	-	1	5896	5697	2020/02/06	2021/12/16	Complete Genome	Department of Infection Metagenomics, Osaka University	SAMD00153192	GCA_010730355.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/730/355/GCA_010730355.1_ASM1073035v1	31287781	JCM 14740
Mycobacterium paraense	767916	PRJNA308282	308282	Terrabacteria group	Actinomycetota	5.61953	69.3	-	LQPM01	51	5399	5229	2017/04/20	2022/03/17	Contig	University of Trento	SAMN04216942	GCA_002101815.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/815/GCF_002101815.1_ASM210181v1	25487637	IEC26
